Player,Team,Pos,Height,Weight,Birth Date,Age,Agency,Agent,Contractual Status,YOS
Jarrett Culver,Sendai 89ers,G-F,6-6,195,"Feb 20, 1999",26,RBA Sports,"B.J. Bass
Cam Brennick",Unrestricted Free Agent,4
Jarron Cumberland,Delaware Blue Coats,SG,6-5,205,"Sep 22, 1997",27,,Josh Goodwin,Unrestricted Free Agent,1
Cade Cunningham,Detroit Pistons,SG,6-6,220,"Sep 25, 2001",23,Excel Sports Management,"James Dunleavy
Jeff Schwartz","Detroit Pistons, Jul 10, 2024",3
Seth Curry,Charlotte Hornets,PG,6-1,185,"Aug 23, 1990",34,CAA Sports,"Austin Brown
Erika Ruiz","Charlotte Hornets, Jul 15, 2024",11
Stephen Curry,Golden State Warriors,PG,6-2,185,"Mar 14, 1988",37,Octagon,Jeff Austin,"Golden State Warriors, Aug 29, 2024",15
Tristan Da Silva,Orlando Magic,PF,6-8,217,"May 15, 2001",24,Excel Sports Management,"Anthony Coleman
Sean Kennedy","Orlando Magic, Jul 6, 2024",0
Pacome Dadiet,New York Knicks,PF,6-8,210,"Jul 27, 2005",19,,Yann Balikouzou,"New York Knicks, Jul 3, 2024",0
Caleb Daniels,Sioux Falls Skyforce,SG,6-4,210,"May 17, 1999",26,Excel Sports Management,James Dunleavy,Unrestricted Free Agent,0
Dyson Daniels,Atlanta Hawks,SG,6-7,199,"Mar 17, 2003",22,Lighthouse Sports Management,Daniel Moldovan,"Atlanta Hawks, Jul 8, 2022",2
N'Faly Dante,Houston Rockets,C,6-11,230,"Oct 19, 2001",23,Klutch Sports Group,"Mike George
Shayaun Saee",Restricted Free Agent (Houston Rockets),0
Anthony Davis,Dallas Mavericks,PF/C,6-10,253,"Mar 11, 1993",32,Klutch Sports Group,Rich Paul,"Dallas Mavericks, Aug 6, 2023",12
Johnny Davis,Westchester Knicks,SG,6-4,195,"Feb 27, 2002",23,Excel Sports Management,"Anthony Coleman
Mike Lindeman",Unrestricted Free Agent,2
Kendric Davis,Sydney,PG,5-11,180,"May 14, 1999",26,Klutch Sports Group,"Corey Barker
Mike George",Unrestricted Free Agent,0
Terence Davis,Sacramento Kings,SG,6-4,201,"May 16, 1997",28,Bell Management International,Joel Bell,"Sacramento Kings, Apr 9, 2025",4
Tyler Davis,Osos de Manati,C,6-10,266,"May 22, 1997",28,Young Money APAA,Adie von Gontard,Unrestricted Free Agent,1
J.D. Davison,Boston Celtics,PG,6-1,195,"Oct 3, 2002",22,,Corey Marcum,"Boston Celtics, Apr 13, 2025",2
Darius Days,Atleticos de San German,SF,6-7,245,"Oct 20, 1999",25,Slash Sports & Entertainment,Charles Misuraca,Unrestricted Free Agent,1
Matt Dellavedova,Sydney,PG/SG,6-3,200,"Sep 8, 1990",34,WME Sports,Bill Duffy,Unrestricted Free Agent,9
Dexter Dennis,Stockton Kings,SG,6-5,210,"Feb 9, 1999",26,Wasserman,Tony Ronzone,Unrestricted Free Agent,1
RayJ Dennis,Indiana Pacers,PG,6-2,180,"Mar 30, 2001",24,LAMF Sports,Daniel Curtin,"Indiana Pacers, Jan 3, 2025 Two-Way",0
DeMar DeRozan,Sacramento Kings,SG/SF,6-6,220,"Aug 7, 1989",35,Goodwin Sports Management,Aaron Goodwin,"Sacramento Kings, Jul 8, 2024",15
Michael Devoe,Leones de Ponce,SG,6-4,183,"Dec 17, 1999",25,Excel Sports Management,Jared Mucha,Unrestricted Free Agent,0
Moussa Diabate,Charlotte Hornets,PF,6-9,210,"Jan 21, 2002",23,,"Nodirbek Talipov
Aaron Turner","Charlotte Hornets, Feb 8, 2025",2
Mamadi Diakite,Valley Suns,PF,6-9,228,"Jan 21, 1997",28,Sports International Group Inc.,Michael (Boris) Lelchitski,Unrestricted Free Agent,4
Cheick Diallo,Osos de Manati,F-C,6-8,219,"Sep 13, 1996",28,WME Sports,Bill Duffy,Unrestricted Free Agent,5
Gradey Dick,Toronto Raptors,G-F,6-6,200,"Nov 20, 2003",21,WME Sports,"Bill Duffy
Drew Gross","Toronto Raptors, Jul 2, 2023",1
Ousmane Dieng,Oklahoma City Thunder,PF,6-9,185,"May 21, 2003",22,Excel Sports Management,Michael Tellem,"Oklahoma City Thunder, Jul 5, 2022",2
Rob Dillingham,Minnesota Timberwolves,PG,6-3,175,"Jan 4, 2005",20,Klutch Sports Group,Lucas Newton,"Minnesota Timberwolves, Jul 8, 2024",0
Spencer Dinwiddie,Dallas Mavericks,SG,6-5,215,"Apr 6, 1993",32,Glushon Sports Management,Jason Glushon,"Dallas Mavericks, Aug 2, 2024",10
Donte DiVincenzo,Minnesota Timberwolves,SG,6-4,203,"Jan 31, 1997",28,Glushon Sports Management,Jason Glushon,"Minnesota Timberwolves, Jul 8, 2023",6
Luka Doncic,Los Angeles Lakers,F-G,6-6,230,"Feb 28, 1999",26,WME Sports,Bill Duffy,"Los Angeles Lakers, Aug 10, 2021",6
Luguentz Dort,Oklahoma City Thunder,SG,6-4,220,"Apr 19, 1999",26,Wasserman,"Thaddeus Foucher
Joe Smith","Oklahoma City Thunder, Jul 6, 2022",5
Ayo Dosunmu,Chicago Bulls,SG,6-5,200,"Jan 17, 2000",25,Excel Sports Management,Mike Lindeman,"Chicago Bulls, Jul 22, 2023",3
Devon Dotson,Besiktas Icrypex,PG,6-1,185,"Aug 2, 1999",25,,"Dana Dotson
Alex Saratsis
Ron Shade",Unrestricted Free Agent,3
Sekou Doumbouya,Sagesse Al Hekmeh Beirut,PF,6-8,235,"Dec 23, 2000",24,Wasserman,Jason Ranne,Unrestricted Free Agent,3
Jeff Dowtin,Philadelphia Sixers,PG,6-3,177,"May 10, 1997",28,SAGA Sports,Bill Neff,"Philadelphia Sixers, Jul 22, 2024 Two-Way",3
Milton Doyle,Indios de Mayaguez,SG,6-4,185,"Oct 31, 1993",31,Valor Sports Agency (VSA),Rich Gray,Unrestricted Free Agent,1
Andre Drummond,Philadelphia Sixers,C/PF,6-11,279,"Aug 10, 1993",31,Bell Management International,Joel Bell,"Philadelphia Sixers, Jul 7, 2024",12
Chris Duarte,Vaqueros de Bayamon,SG,6-5,190,"Jun 13, 1997",28,CAA Sports,"Austin Brown
Mitch Nathan
Sam Rose
Max Saidman",Unrestricted Free Agent,3
Alex Ducas,Oklahoma City Thunder,SG,6-7,220,"Dec 11, 2000",24,Wasserman,Tadas Bulotas,"Oklahoma City Thunder, Jul 15, 2024 Two-Way",0
David Duke,San Antonio Spurs,SG,6-4,204,"Oct 13, 1999",25,Life Sports Agency,"Todd Ramasar
Mike Simonetta","San Antonio Spurs, Jul 26, 2024 Two-Way",3
Kris Dunn,Los Angeles Clippers,PG,6-3,205,"Mar 18, 1994",31,Thread Sports Management,Bernie Lee,"Los Angeles Clippers, Jul 18, 2024",8
Ryan Dunn,Phoenix Suns,PF,6-8,216,"Jan 7, 2003",22,CAA Sports,"Dave Spahn
Ty Sullivan","Phoenix Suns, Jul 2, 2024",0
Kevin Durant,Phoenix Suns,SF/SG,6-11,240,"Sep 29, 1988",36,KD Enterprises,Rich Kleiman,"Phoenix Suns, Aug 8, 2021",17
Jalen Duren,Detroit Pistons,C,6-10,250,"Nov 18, 2003",21,Wasserman,Chafie Fields,"Detroit Pistons, Jul 7, 2022",2
Trevon Duval,Sabah BC,PG,6-3,186,"Aug 3, 1998",26,,Zachary Hayworth,"Houston Rockets, Jul 24, 2018 Two-Way",1
Tari Eason,Houston Rockets,PF,6-8,215,"May 10, 2001",24,Wasserman,"Chafie Fields
Thaddeus Foucher","Houston Rockets, Jul 1, 2022",2
Zach Edey,Memphis Grizzlies,C,7-4,305,"May 14, 2002",23,Priority Sports & Entertainment,"Mark Bartelstein
Kyle McAlarney","Memphis Grizzlies, Jul 6, 2024",0
Anthony Edwards,Minnesota Timberwolves,SG,6-4,225,"Aug 5, 2001",23,WME Sports,Joe Branch,"Minnesota Timberwolves, Jul 8, 2023",4
Jesse Edwards,Minnesota Timberwolves,C,7-0,236,"Mar 18, 2000",25,Wasserman,Joe Smith,Restricted Free Agent (Minnesota Timberwolves),0
Justin Edwards,Philadelphia Sixers,SF,6-7,203,"Dec 16, 2003",21,Klutch Sports Group,"Josh Hairston
Rich Paul","Philadelphia Sixers, Feb 9, 2025",0
Kessler Edwards,Dallas Mavericks,SF,6-7,203,"Aug 9, 2000",24,WME Sports,"Bill Duffy
Marlon Harrison
David Mondress","Dallas Mavericks, Aug 7, 2024 Two-Way",3
Rob Edwards,Osos de Manati,SG,6-5,205,"Jan 20, 1997",28,Equity Basketball,Mike Silverman,Unrestricted Free Agent,1
Henry Ellenson,Wisconsin Herd,F-C,6-10,240,"Jan 13, 1997",28,Excel Sports Management,Mike Lindeman,Unrestricted Free Agent,5
Boogie Ellis,Indiana Mad Ants,PG,6-2,190,"Dec 12, 2000",24,,"Dan Frank
Derek Malloy
Mike Miller",Unrestricted Free Agent,0
Keon Ellis,Sacramento Kings,SG,6-4,175,"Jan 8, 2000",25,Priority Sports & Entertainment,"Mark Bartelstein
Andy Shiffman","Sacramento Kings, Feb 9, 2024",2
Tristan Enaruna,Maine Celtics,PF,6-8,220,"Jun 26, 2001",24,,Phillip Parun,Unrestricted Free Agent,0
Tyson Etienne,Brooklyn Nets,PG,6-2,200,"Sep 17, 1999",25,RBA Sports,"B.J. Bass
Cam Brennick",Restricted Free Agent (Brooklyn Nets),0
Drew Eubanks,Los Angeles Clippers,F-C,6-10,245,"Feb 1, 1997",28,Excel Sports Management,"James Dunleavy
Max Lipsett","Los Angeles Clippers, Aug 10, 2024",6
Tosan Evbuomwan,Brooklyn Nets,SF,6-7,217,"Feb 16, 2001",24,GSL Sports Group,George Langberg,"Brooklyn Nets, Jan 1, 2025 Two-Way",1
Dante Exum,Dallas Mavericks,SG,6-5,214,"Jul 13, 1995",29,Landmark Sports Agency,Brandon Rosenthal,"Dallas Mavericks, Jul 14, 2023",8
Tacko Fall,Nanjing Tongxi Monkey King,C,7-6,250,"Dec 10, 1995",29,WME Sports,"Bill Duffy
Justin Haynes",Unrestricted Free Agent,3
Kenneth Faried,Cangrejeros de Santurce,PF,6-8,228,"Nov 19, 1989",35,,"Deandre Boynton
Mitch Frankel",Unrestricted Free Agent,8
Kay Felder,Criollos de Caguas,PG,5-9,176,"Mar 29, 1995",30,Equity Basketball,"Brandon Grier
Mike Silverman","Detroit Pistons, Jan 15, 2018 Two-Way",2
Yogi Ferrell,Buducnost Voli Podgorica,PG,6-0,180,"May 9, 1993",32,,Cervando Tejeda,Unrestricted Free Agent,5
Max Fiedler,Texas Legends,PF,6-11,230,"Feb 26, 2001",24,,Duncan Lloyd,Unrestricted Free Agent,0
Kyle Filipowski,Utah Jazz,C,6-11,250,"Nov 7, 2003",21,Priority Sports & Entertainment,"Mark Bartelstein
Kyle McAlarney","Utah Jazz, Aug 12, 2024",0
Dorian Finney-Smith,Los Angeles Lakers,SF,6-7,220,"May 4, 1993",32,Excel Sports Management,Michael Tellem,"Los Angeles Lakers, Feb 12, 2022",8
Adam Flagler,Oklahoma City Thunder,PG,6-3,180,"Dec 1, 1999",25,Life Sports Agency,"Todd Ramasar
Mike Simonetta","Oklahoma City Thunder, Feb 11, 2024 Two-Way",1
Trentyn Flowers,Los Angeles Clippers,PF,6-9,185,"Mar 8, 2005",20,Equity Basketball,"Brandon Grier
Troy Payne
Mike Silverman",Restricted Free Agent (Los Angeles Clippers),0
Malachi Flynn,Bahcesehir Koleji,PG,6-1,185,"May 9, 1998",27,Priority Sports & Entertainment,Mark Bartelstein,Unrestricted Free Agent,4
Simone Fontecchio,Detroit Pistons,SF,6-7,209,"Dec 9, 1995",29,Excel Sports Management,"Sam Goldfeder
Jared Mucha","Detroit Pistons, Jul 12, 2024",2
Bryn Forbes,Santeros de Aguada,PG,6-2,205,"Jul 23, 1993",31,Octagon,"Alex Saratsis
Ron Shade",Unrestricted Free Agent,7
Aleem Ford,Leones de Ponce,PF,6-8,220,"Dec 22, 1997",27,,Niko Filipovich,Unrestricted Free Agent,1
Jordan Ford,2B Control Trapani,PG,6-1,175,"May 26, 1998",27,Klutch Sports Group,Calvin Andrews,"Sacramento Kings, Sep 14, 2023 Two-Way",1
Michael Foster Jr.,Capital City Go-Go,PF,6-8,250,"Jan 16, 2003",22,Klutch Sports Group,"Corey Barker
Mike George",Unrestricted Free Agent,1
De'Aaron Fox,San Antonio Spurs,PG,6-3,185,"Dec 20, 1997",27,Klutch Sports Group,Rich Paul,"San Antonio Spurs, Nov 24, 2020",7
Armaan Franklin,College Park Skyhawks,SG,6-4,204,"Nov 17, 2000",24,Valor Sports Agency (VSA),"Deddrick Faison
Rich Gray",Unrestricted Free Agent,0
Robert Franks,Ibaraki Robots,PF,6-9,225,"Dec 18, 1996",28,Equity Basketball,Mike Silverman,Unrestricted Free Agent,2
Michael Frazier,Beirut Club,PG,6-3,200,"Mar 8, 1994",31,Career Sports and Entertainment (CSE),Darrell Comer,"Houston Rockets, Oct 20, 2019 Two-Way",2
Enrique Freeman,Indiana Pacers,SF,6-7,220,"Jul 29, 2000",24,,"Sam Cipriano
Keith Kreiter",Restricted Free Agent (Indiana Pacers),0
Javon Freeman-Liberty,Windy City Bulls,PG,6-3,190,"Oct 20, 1999",25,,"Keith Glass
Luke Glass",Unrestricted Free Agent,1
Markelle Fultz,Sacramento Kings,SG,6-4,209,"May 29, 1998",27,I AM Sports & Entertainment,Raymond Brothers,"Sacramento Kings, Feb 12, 2025",7
Andrew Funk,Grand Rapids Gold,SG,6-5,200,"Sep 21, 1999",25,,Daniel Harrison,Unrestricted Free Agent,1
Taylor Funk,Capital City Go-Go,PF,6-8,230,"Nov 6, 1997",27,,Nathan Pezeshki,Unrestricted Free Agent,0
Johnny Furphy,Indiana Pacers,SG,6-9,200,"Dec 7, 2004",20,Priority Sports & Entertainment,"Mark Bartelstein
Andy Shiffman","Indiana Pacers, Jul 6, 2024",0
Daniel Gafford,Dallas Mavericks,F-C,6-10,265,"Oct 1, 1998",26,Klutch Sports Group,"Mike George
Shayaun Saee","Dallas Mavericks, Oct 18, 2021",5
Danilo Gallinari,Vaqueros de Bayamon,SF,6-10,236,"Aug 8, 1988",36,Excel Sports Management,Michael Tellem,Unrestricted Free Agent (Milwaukee Bucks),16
Jaylin Galloway,Sydney,SF,6-6,190,"Dec 21, 2002",22,,Marquis Taylor,Unrestricted Free Agent,1
Myron Gardner,Osceola Magic,SF,6-6,220,"May 21, 2001",24,,Jake Cohen,Unrestricted Free Agent,0
Patrick Gardner,Osceola Magic,C,6-11,240,"Jun 16, 1999",26,GSL Sports Group,George Langberg,Unrestricted Free Agent,0
Darius Garland,Cleveland Cavaliers,PG,6-1,192,"Jan 26, 2000",25,Klutch Sports Group,"Lucas Newton
Rich Paul","Cleveland Cavaliers, Jul 8, 2022",5
Marcus Garrett,Greensboro Swarm,SG,6-5,205,"Nov 9, 1998",26,Klutch Sports Group,Corey Barker,Unrestricted Free Agent,1
Luka Garza,Minnesota Timberwolves,C,6-10,243,"Dec 27, 1998",26,Priority Sports & Entertainment,Mark Bartelstein,"Minnesota Timberwolves, Jul 5, 2024",3
Keyonte George,Utah Jazz,SG,6-4,185,"Nov 8, 2003",21,Wasserman,"Thaddeus Foucher
Jason Ranne
Joe Smith","Utah Jazz, Jul 2, 2023",1
Kyshawn George,Washington Wizards,PF,6-8,200,"Dec 12, 2003",21,Wasserman,"Jelani Floyd
Joe Smith","Washington Wizards, Jul 6, 2024",0
Paul George,Philadelphia Sixers,SG/SF,6-8,220,"May 2, 1990",35,CAA Sports,Aaron Mintz,"Philadelphia Sixers, Jul 6, 2024",14
Marcus Georges-Hunt,Sporting Al Riyadi Beirut,SF,6-6,220,"Mar 28, 1994",31,,Dewey Hawkins,Unrestricted Free Agent,2
Taj Gibson,Charlotte Hornets,PF,6-9,232,"Jun 24, 1985",40,Priority Sports & Entertainment,Mark Bartelstein,"Charlotte Hornets, Jul 13, 2024",15
Josh Giddey,Chicago Bulls,SG,6-8,216,"Oct 10, 2002",22,Lighthouse Sports Management,Daniel Moldovan,"Chicago Bulls, Aug 7, 2021",3
Anthony Gill,Washington Wizards,PF,6-8,230,"Oct 17, 1992",32,Excel Sports Management,"Sean Kennedy
Jeff Schwartz",Unrestricted Free Agent,4
Collin Gillespie,Phoenix Suns,PG,6-1,195,"Jun 25, 1999",26,Excel Sports Management,Jordan Gertler,Restricted Free Agent (Phoenix Suns),2
Shai Gilgeous-Alexander,Oklahoma City Thunder,,,,"Jul 12, 1998",26,Shai Gilgeous-Alexander MGMT,Shai Gilgeous-Alexander,,
Rudy Gobert,Minnesota Timberwolves,C,7-1,258,"Jun 26, 1992",33,Comsport,Bouna Ndiaye,"Minnesota Timberwolves, Oct 24, 2024",11
Grant Golden,BAXI Manresa,PF,6-10,255,"Jan 15, 1998",27,Sports International Group Inc.,Michael (Boris) Lelchitski,Unrestricted Free Agent,0
Dane Goodwin,Salt Lake City Stars,SG,6-6,214,"Dec 28, 1999",25,Pensack Sports,Ben Pensack,Unrestricted Free Agent,0
Jordan Goodwin,Los Angeles Lakers,SG,6-5,215,"Oct 23, 1998",26,LIFT Sports Management,Noah Croom,"Los Angeles Lakers, Mar 27, 2025",3
Aaron Gordon,Denver Nuggets,SF,6-8,235,"Sep 16, 1995",29,Klutch Sports Group,"Calvin Andrews
Elisabeth Gordon","Denver Nuggets, Oct 21, 2024",10
Eric Gordon,Philadelphia Sixers,SG,6-3,215,"Dec 25, 1988",36,Life Sports Agency,Todd Ramasar,"Philadelphia Sixers, Jul 10, 2024",16
Jazian Gortman,Texas Legends,PG,6-2,184,"Mar 14, 2003",22,LIFT Sports Management,Mike Miller,Unrestricted Free Agent,0
Andrew Goudelock,Kolossos Rodou BC,SG,6-3,200,"Dec 7, 1988",36,,Marko Jelic,Unrestricted Free Agent,3
Devonte' Graham,Rip City Remix,PG,6-1,195,"Feb 22, 1995",30,CAA Sports,Ty Sullivan,Unrestricted Free Agent,6
Jerami Grant,Portland Trail Blazers,SF,6-7,210,"Mar 12, 1994",31,Klutch Sports Group,Rich Paul,"Portland Trail Blazers, Jul 9, 2023",10
A.J. Green,Milwaukee Bucks,SG,6-4,190,"Sep 27, 1999",25,ProMondo Sports,"Matt Bollero
Jennifer Jacques-Miller","Milwaukee Bucks, Jul 7, 2023",2
Draymond Green,Golden State Warriors,PF,6-6,230,"Mar 4, 1990",35,Klutch Sports Group,Rich Paul,"Golden State Warriors, Jul 8, 2023",12
Jalen Green,Houston Rockets,SG,6-4,186,"Feb 9, 2002",23,CAA Sports,"Aaron Mintz
Drew Morrison","Houston Rockets, Oct 21, 2024",3
Javonte Green,Cleveland Cavaliers,SG,6-5,205,"Jul 23, 1993",31,Wasserman,"Jelani Floyd
Greg Lawrence","Cleveland Cavaliers, Feb 23, 2025",5
Jeff Green,Houston Rockets,PF,6-8,235,"Aug 28, 1986",38,Glushon Sports Management,Jason Glushon,"Houston Rockets, Jul 6, 2023",16
Josh Green,Charlotte Hornets,SG,6-5,200,"Nov 16, 2000",24,CAA Sports,"Steven Heumann
Aaron Mintz
Drew Morrison","Charlotte Hornets, Oct 23, 2023",4
Quentin Grimes,Philadelphia Sixers,SG,6-4,210,"May 8, 2000",25,The Familie,"David Bauman
Travis King Jr.","Philadelphia Sixers, Aug 6, 2021",3
Marko Guduric,AX Armani Exchange Milan,SG,6-6,201,"Mar 8, 1995",30,Excel Sports Management,"Jordan Gertler
Misko Raznatovic",Unrestricted Free Agent,1
Mouhamadou Gueye,Capital City Go-Go,PF,6-9,210,"Jul 6, 1998",26,Entersport,Eric Fleisher,Unrestricted Free Agent,1
Mouhamed Gueye,Atlanta Hawks,PF,6-10,210,"Nov 9, 2002",22,,Amandeep Dhesi,"Atlanta Hawks, Jul 3, 2023",1
Rui Hachimura,Los Angeles Lakers,PF,6-8,230,"Feb 8, 1998",27,Wasserman,"Darren Matsubara
Jason Ranne","Los Angeles Lakers, Jul 6, 2023",5
Tyrese Haliburton,Indiana Pacers,SG,6-5,185,"Feb 29, 2000",25,CAA Sports,"Aaron Mintz
Dave Spahn","Indiana Pacers, Jul 6, 2023",4
Jordan Hall,Texas Legends,SG,6-7,215,"Jan 14, 2002",23,,"Alexis Liatsos
Haris Papadopoulos",Unrestricted Free Agent,1
P.J. Hall,Denver Nuggets,C,6-10,245,"Feb 21, 2002",23,ProMondo Sports,Matt Bollero,"Denver Nuggets, Jul 10, 2024 Two-Way",0
Alex Hamilton,Indios de Mayaguez,SG,6-4,195,"Oct 5, 1993",31,Klutch Sports Group,Corey Barker,Unrestricted Free Agent,0
Bryce Hamilton,Tasmania,SG,6-4,205,"Nov 10, 2000",24,Klutch Sports Group,Shayaun Saee,Unrestricted Free Agent,0
Tim Hardaway Jr.,Detroit Pistons,SG,6-5,205,"Mar 16, 1992",33,Priority Sports & Entertainment,Zach Kurtin,"Detroit Pistons, Aug 9, 2021",11
James Harden,Los Angeles Clippers,SG,6-5,220,"Aug 26, 1989",35,Equity Basketball,"Brandon Grier
Troy Payne
Mike Silverman","Los Angeles Clippers, Jul 9, 2024",15
Jaden Hardy,Dallas Mavericks,PG,6-3,198,"Jul 5, 2002",22,Excel Sports Management,James Dunleavy,"Dallas Mavericks, Oct 22, 2024",2
E.J. Harkless,Utah Jazz,PG,6-3,195,"Feb 3, 2000",25,RBA Sports,"B.J. Bass
Cam Brennick","Utah Jazz, Jan 1, 2025 Two-Way",0
Maurice Harkless,Criollos de Caguas,SF,6-7,220,"May 11, 1993",32,Wasserman,"Jelani Floyd
Greg Lawrence",Unrestricted Free Agent,10
Ron Harper,Detroit Pistons,G-F,6-4,233,"Apr 12, 2000",25,WME Sports,Drew Gross,"Detroit Pistons, Jan 6, 2025 Two-Way",2
Montrezl Harrell,Gigantes de Carolina,F-C,6-7,240,"Jan 26, 1994",31,Career Sports and Entertainment (CSE),Darrell Comer,Unrestricted Free Agent,8
Gary Harris,Orlando Magic,SG,6-4,210,"Sep 14, 1994",30,CAA Sports,"Austin Brown
Aaron Mintz","Orlando Magic, Jul 6, 2024",10
Jalen Harris,Winnipeg Sea Bears,SG,6-5,195,"Aug 14, 1998",26,Klutch Sports Group,"Mike George
Merle Scott",Unrestricted Free Agent,1
Kevon Harris,College Park Skyhawks,SG,6-5,216,"Jun 24, 1997",28,Career Sports and Entertainment (CSE),Darrell Comer,"Orlando Magic, Jul 25, 2022 Two-Way",2
Manny Harris,Sporting Al Riyadi Beirut,SG,6-5,185,"Sep 21, 1989",35,,Jarinn Akana,Unrestricted Free Agent,4
Tobias Harris,Detroit Pistons,PF,6-8,226,"Jul 15, 1992",32,,Gary Durrant,"Detroit Pistons, Jul 8, 2024",13
Andrew Harrison,Pioneros del Avila,PG,6-4,210,"Oct 28, 1994",30,LIFT Sports Management,"Kevin Bradbury
Rade Filipovich",Unrestricted Free Agent,3
Josh Hart,New York Knicks,SG,6-4,215,"Mar 6, 1995",30,CAA Sports,"Steven Heumann
Aaron Mintz
Dave Spahn","New York Knicks, Aug 10, 2023",7
Isaiah Hartenstein,Oklahoma City Thunder,C-F,7-0,250,"May 5, 1998",27,CAA Sports,"Aaron Mintz
Drew Morrison","Oklahoma City Thunder, Jul 6, 2024",6
Joey Hauser,College Park Skyhawks,PF,6-9,230,"Jul 17, 1999",25,Glushon Sports Management,Jason Glushon,Unrestricted Free Agent,0
Sam Hauser,Boston Celtics,SF,6-7,217,"Dec 8, 1997",27,Glushon Sports Management,Jason Glushon,"Boston Celtics, Jul 23, 2024",3
Jordan Hawkins,New Orleans Pelicans,SG,6-5,190,"Apr 29, 2002",23,CAA Sports,Ty Sullivan,"New Orleans Pelicans, Jul 3, 2023",1
Jaxson Hayes,Los Angeles Lakers,C-F,7-0,220,"May 23, 2000",25,WME Sports,"Bill Duffy
Marlon Harrison","Los Angeles Lakers, Jul 6, 2023",5
Nigel Hayes-Davis,,,,,"Dec 16, 1994",,LIFT Sports Management,Kevin Bradbury,,
Scoot Henderson,Portland Trail Blazers,PG,6-3,206,"Feb 3, 2004",21,Klutch Sports Group,Rich Paul,"Portland Trail Blazers, Jul 1, 2023",1
Taylor Hendricks,Utah Jazz,PF,6-9,215,"Nov 22, 2003",21,,"Christopher Gaston
Alex Saratsis","Utah Jazz, Jul 2, 2023",1
Aaron Henry,Nagoya Diamond Dolphins,SF,6-5,210,"Aug 30, 1999",25,,"Dan Frank
Mike Miller",Unrestricted Free Agent,1
Dewan Hernandez,Gigantes de Carolina,PF,6-10,235,"Dec 9, 1996",28,,"Haris Papadopoulos
Todd Ramasar
Sonny Xiao",Unrestricted Free Agent,1
Tyler Herro,Miami Heat,SG,6-5,195,"Jan 20, 2000",25,Excel Sports Management,"Mike Lindeman
Jeff Schwartz","Miami Heat, Oct 2, 2022",5
Isaiah Hicks,Seoul SK,PF,6-8,233,"Jul 24, 1994",30,Slash Sports & Entertainment,Charles Misuraca,"New York Knicks, Jul 3, 2018 Two-Way",2
Stephan Hicks,Indiana Mad Ants,SG,6-4,200,"Apr 2, 1992",33,,Jamie Knox,Unrestricted Free Agent,1
Buddy Hield,Golden State Warriors,SG,6-4,220,"Dec 17, 1992",32,,Diana Day,"Golden State Warriors, Jul 6, 2024",8
Devon Higgs,Greensboro Swarm,SG,6-5,198,"Feb 10, 2000",25,,Lin Huynh,Unrestricted Free Agent,0
Haywood Highsmith,Miami Heat,SF,6-5,220,"Dec 9, 1996",28,,"Mason Ashe
Jerry Dianis","Miami Heat, Jul 8, 2024",4
Ahmed Hill,Niagara River Lions,SG,6-5,209,"Mar 21, 1996",29,,"Steve McCaskill
Nikolaos Spanos",Unrestricted Free Agent,0
Darrun Hilliard,Bilbao Basket,SG,6-6,220,"Apr 13, 1993",32,Excel Sports Management,"James Dunleavy
Misko Raznatovic",Restricted Free Agent (San Antonio Spurs),3
Blake Hinson,Santa Cruz Warriors,PF,6-8,230,"Dec 26, 1999",25,Verus Management,Aaron Turner,Unrestricted Free Agent,0
Nathaniel Hinton,Memphis Hustle,G-F,6-5,210,"Jun 8, 1999",26,,E.J. Kusnyer,"Houston Rockets, Oct 23, 2023 Two-Way",3
Aaron Holiday,Houston Rockets,PG,6-0,185,"Sep 30, 1996",28,Glushon Sports Management,Jason Glushon,"Houston Rockets, Jul 6, 2024",6
Jrue Holiday,Boston Celtics,PG,6-4,205,"Jun 12, 1990",35,Glushon Sports Management,Jason Glushon,"Boston Celtics, Apr 11, 2024",15
John Holland,Santeros de Aguada,SF,6-5,205,"Nov 6, 1988",36,Wasserman,"Jason Ranne
Misko Raznatovic",Unrestricted Free Agent,3
Ron Holland,Detroit Pistons,PF,6-8,206,"Jul 7, 2005",19,WME Sports,"Bill Duffy
Justin Haynes","Detroit Pistons, Jul 6, 2024",0
DaRon Holmes II,Denver Nuggets,PF,6-10,225,"Aug 15, 2002",22,AMR Agency,Aaron Reilly,"Denver Nuggets, Jul 9, 2024",0
Richaun Holmes,Washington Wizards,PF,6-9,235,"Oct 15, 1993",31,CAA Sports,"Richard Beda
Austin Brown
Max Saidman","Washington Wizards, Jun 29, 2024",9
Chet Holmgren,Oklahoma City Thunder,C-F,7-1,208,"May 1, 2002",23,WME Sports,Bill Duffy,"Oklahoma City Thunder, Jul 1, 2022",2
Jalen Hood-Schifino,Philadelphia Sixers,SG,6-5,210,"Jun 19, 2003",22,CAA Sports,Austin Brown,"Philadelphia Sixers, Mar 1, 2025 Two-Way",1
Al Horford,Boston Celtics,C/PF,6-9,240,"Jun 3, 1986",39,Glushon Sports Management,Jason Glushon,"Boston Celtics, Dec 1, 2022",17
Talen Horton-Tucker,Chicago Bulls,SG,6-4,234,"Nov 25, 2000",24,Klutch Sports Group,"Lucas Newton
Rich Paul","Chicago Bulls, Sep 4, 2024",5
